categories,details_url,organization,title,content
civic,https://www.stocktondemonstration.org,Stockton Economic Empowerment Demonstration (SEED) via Economic Security Project,Supporting groundbreaking initiatives to ensure opportunity and economic security.,"Led by Mayor Michael Tubbs, the Stockton Economic Empowerment Demonstration (SEED) is the first guaranteed income experiment in the U.S. to pilot basic income programs in Stockton, CA."
seed,https://www.opportunityfund.org,Opportunity Fund,Women Empowering Women builds capacity for women entrepreneurs.,Opportunity Fund is investing in targeted outreach and technology to reach and engage women entrepreneurs who are seeking to build sustainable small businesses.
expansion,"http://www.cityyear.org/losangeles.aspx"">City Year",,Redefining idealism by promoting the idea that each of us can make a difference.,We led City Year&rsquo;s expansion to Los Angeles then supported their growth in L.A. We also provided seed funding for their L.A.-based education conference about how service can drive education reform.
civic,http://mayorsfundla.org,Los Angeles Mayor’s Fund,Developing civic pride by showcasing Los Angeles as a world-class creative capital,"Through the Brand LA initiative, the Mayor's Fund engaged with branding experts and creative thinkers at 72andSunny and the Mayor's Office of Economic Development, to develop a consistent and revitalized identity for Los Angeles. This program, <a href=""https://www.laoriginal.com"">LA Original</a>, celebrates LA as the creative capital of the world, showcasing LA's manufacturers, makers, and entrepreneurs."
seed,"http://www.imagination.is"">The Imagination Foundation",,"Finding, funding, and fostering creativity and entrepreneurship in youth.","Inspired by Caine&rsquo;s Arcade, we provided seed funding to build an organization that would support more kids like Caine. We want to &ldquo;help kids not only to learn how to build the things they imagine, but to also imagine the world they can build.&rdquo;"
expansion,http://www.liftcommunities.org,LIFT,Combating poverty and expanding opportunity so all Americans can pursue their life goals.,"A longtime funder of LIFT, we worked with them to expand their model in L.A. We provided funding for a feasibility study and, organized meetings with city officials, social service organizations, university administrators, potential board members, and funders to learn where LIFT could do the most good."
civic,,TRANSPORTATION TECHNOLOGY STRATEGIST FELLOW AT CITY OF LOS ANGELES DEPARTMENT OF TRANSPORTATION,Designing the future of transportation in Los Angeles,"With our support, Los Angeles has become the only municipality in the nation with a staff person dedicated to developing a citywide transportation technology strategy that promotes shared mobility and that supports a safe, sustainable, and tech-enabled transportation network."
seed,http://artsrestore.la,Hammer Museum Arts Restore LA,The Hammer Museum at UCLA believes in the promise of art and ideas to illuminate our lives and build a more just world.,The Hammer Museum tapped into the thriving Los Angeles creative community to curate an artisanal pop-up village in Westwood and offer a long term strategy to turn the neighborhood around.
expansion,http://www.peerhealthexchange.org,PEER HEALTH EXCHANGE,Giving teenagers the knowledge and skills they need to make healthy decisions by training college students to teach a health curriculum in public schools that lack health education.,"A longtime funder of Peer Health Exchange, we helped expand and deepen their operations in L.A., specifically within USC, UCLA, CSU Northridge, and Occidental College, training more college students to teach the curriculum to additional 9<sup>th</sup> grade students in new neighborhoods."
civic,https://healthebay.org,Heal the Bay in partnership with the U.S. Army Corps of Engineers,The Compton Creek Trash Capture Project,"Heal the Bay in partnership with the U.S. Army Corps of Engineers completed a project to build trash capture devices in the concrete portion of Compton Creek, the last major tributary that feeds into the Los Angeles River."
seed,https://www.galacademy.org,GIRLS ACADEMIC LEADERSHIP ACADEMY (GALA),Promoting gender diversity and inspiring innovation in the STEM fields,"GALA is LAUSD’s first all-girls public school. With a STEM-centered curriculum, GALA’s students will apply their academic and technology skills to build projects in a flexible, collaborative learning environment."
expansion,http://missionassetfund.org,Mission Asset Fund,Creating a fair financial marketplace for hardworking families.,We worked with Mission Asset Fund to bring Lending Circles for Citizenship and the Security Deposit Loan Program for the first time to Southern California.
civic,"https://www.whitehouse.gov/administration/eop/ostp"">WHITE HOUSE FELLOWSHIP in Entrepreneurship",,Supporting sustainable economic growth and quality jobs with the White House Office of Science and Technology Policy.,"This fellowship is designed to coordinate and launch a national agenda supporting inclusive entrepreneurship and expanding business opportunities in the technology field, especially to women and formerly disinvested communities."
seed,"http://myla2050.maker.good.is/projects/salamanderproject"">Locke Jet Space",,"No Right Brain Left Behind's mission is to instill creativity in education. Green Dot Public Schools' mission is to help transform public education so all students graduate prepared for college, leadership, and life.","No Right Brain Left Behind and Green Dot Public Schools transformed a neglected library at Locke High School into the Locke Jet Space to foster students’ exploration, critical thinking, and collaborative problem solving."
expansion,https://www.homeboyindustries.org/what-we-do/homeboy-recycling,Homeboy Electronics Recycling,Providing economic opportunity and responsible e-waste recycling.,"We provided support for the merger of Homeboy Industries and Isidore Recycling, two nonprofits focused on reducing barriers to employment and recidivism while eliminating e-waste."
expansion,http://www.harlemlacrosse.org,Harlem Lacrosse Los Angeles,Empowering children to work hard on the field and in the classroom.,"We supported City Lacrosse’s expansion to Los Angeles. In Spring 2017, they merged with Harlem Lacrosse to form a national, school-based organization that provides academic support, mentoring, counseling, and lacrosse instruction."
